=== Symbol Debug Test ===
Enter Rust code (Ctrl+D to finish):
Father relationships set successfully.
Self and Self semantic checking completed successfully.
Namespace semantic checking completed successfully.

=== Symbol Debug Output ===
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='l', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(l)       | Type: PathExprSegNode           | Symbol: Symbol{name='l', kind=PARAMETER, scopeLevel=1}
Node: l                    | Type: IdentifierNode            | Symbol: Symbol{name='l', kind=PARAMETER, scopeLevel=1}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='r', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(r)       | Type: PathExprSegNode           | Symbol: Symbol{name='r', kind=PARAMETER, scopeLevel=1}
Node: r                    | Type: IdentifierNode            | Symbol: Symbol{name='r', kind=PARAMETER, scopeLevel=1}
Node: StructExpr           | Type: StructExprNode            | Symbol: Symbol{name='Food', kind=STRUCT_CONSTRUCTOR, scopeLevel=0}
Node: PathExprSeg(Food)    | Type: PathExprSegNode           | Symbol: Symbol{name='Food', kind=STRUCT_CONSTRUCTOR, scopeLevel=0}
Node: Food                 | Type: IdentifierNode            | Symbol: Symbol{name='Food', kind=STRUCT_CONSTRUCTOR, scopeLevel=0}
Node: FieldVal(cnt)        | Type: FieldValNode              | Symbol: Symbol{name='cnt', kind=FIELD, scopeLevel=0}
Node: cnt                  | Type: IdentifierNode            | Symbol: Symbol{name='cnt', kind=FIELD, scopeLevel=0}
Node: FieldVal(ty)         | Type: FieldValNode              | Symbol: Symbol{name='ty', kind=FIELD, scopeLevel=0}
Node: ty                   | Type: IdentifierNode            | Symbol: Symbol{name='ty', kind=FIELD, scopeLevel=0}
Node: Function(update)     | Type: FunctionNode              | Symbol: Symbol{name='update', kind=FUNCTION, scopeLevel=0}
Node: update               | Type: IdentifierNode            | Symbol: Symbol{name='update', kind=FUNCTION, scopeLevel=0}
Node: seg_pool             | Type: IdentifierNode            | Symbol: Symbol{name='seg_pool', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(SegT)    | Type: PathExprSegNode           | Symbol: Symbol{name='SegT', kind=STRUCT, scopeLevel=0}
Node: SegT                 | Type: IdentifierNode            | Symbol: Symbol{name='SegT', kind=STRUCT, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='MAXSEG', kind=CONSTANT, scopeLevel=0}
Node: PathExprSeg(MAXSEG)  | Type: PathExprSegNode           | Symbol: Symbol{name='MAXSEG', kind=CONSTANT, scopeLevel=0}
Node: MAXSEG               | Type: IdentifierNode            | Symbol: Symbol{name='MAXSEG', kind=CONSTANT, scopeLevel=0}
